"Activity ID","Source Issue","Phase","Gate","Type","Execution","Agent Role","Goal","Deliverables","Predecessors","Acceptance IDs","Status","Owner Role","Reviewer Role","Priority References"
"ACT-SP-068-01","SP-068","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Disputed/second guardian, corrected age/adult transfer, class-level deletion/holds, provider identifiers and stale-cursor/tombstone behavior; R05/R09","Integration/evidence checklist and actual Privacy/identity/backend leads decision for SP-068","ACT-SP-021-01, ACT-SP-024-01, ACT-SP-044-01, ACT-SP-061-03, ACT-SP-066-01, ACT-SP-103-03, ACT-SP-132-03","AC-SP-068-01, AC-SP-068-02","Backlog","Privacy/identity/backend leads","Independent security reviewer",""
"ACT-SP-069-01","SP-069","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Aligned metadata/object/auth/config inventory; isolated restore, deletion/revocation replay, missing-key/rotation and backup-deletion-authority exercises; old-client compatibility; R10/R11/R15","Integration/evidence checklist and actual Operator/security reviewer decision for SP-069","ACT-SP-025-01, ACT-SP-055-01, ACT-SP-063-03, ACT-SP-068-01, ACT-SP-131-03","AC-SP-069-01, AC-SP-069-02, AC-SP-069-03, AC-SP-069-04","Backlog","Operator/security reviewer","Operator / security reviewer",""
"ACT-SP-070-01","SP-070","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Named report/alternate handler; report-about-guardian/coach safety; no unrestricted child messaging; all released assets approved; screen-reader/text/landscape/OTP/Stop scenarios; R13/R14","Integration/evidence checklist and actual Safeguarding owner/coach/designer decision for SP-070","ACT-SP-019-01, ACT-SP-020-01, ACT-SP-043-01, ACT-SP-062-03, ACT-SP-130-03, ACT-SP-165-03","AC-SP-070-01, AC-SP-070-02, AC-SP-070-03, AC-SP-070-04, AC-SP-070-05, AC-SP-070-06","Backlog","Safeguarding owner/coach/designer","Independent QA",""
"ACT-SP-071-01","SP-071","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Current-build identity/API/media/recovery tests and auth abuse/incident exercises; redacted evidence, staffed response and alternate ownership; no unresolved blocker for pilot scope","Integration/evidence checklist and actual Independent security reviewer/operator decision for SP-071","ACT-SP-026-01, ACT-SP-066-01, ACT-SP-067-01, ACT-SP-068-01, ACT-SP-069-01, ACT-SP-070-01, ACT-SP-128-02","AC-SP-071-01, AC-SP-071-02, AC-SP-071-03","Backlog","Independent security reviewer/operator","Independent security reviewer",""
"ACT-SP-072-01","SP-072","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Source-specific purchase/refund/restore, fresh-MFA financial changes, seat ownership, active subscription plus deletion flow, verified Level 0 phishing-resistant entry; R01/R17","Integration/evidence checklist and actual Billing/identity/security leads decision for SP-072","ACT-SP-030-01, ACT-SP-054-01, ACT-SP-066-01, ACT-SP-068-01, ACT-SP-129-03","AC-SP-072-01, AC-SP-072-02","Backlog","Billing/identity/security leads","Billing / security reviewer",""
"ACT-SP-073-01","SP-073","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Scoped security/content costs, MFA recovery/support and validation processing, provider-plan allowances, per-owner usage stress, dated cash runway and actual owner coverage; R19","Integration/evidence checklist and actual Founder with accountant/technical lead decision for SP-073","ACT-SP-030-01, ACT-SP-056-01, ACT-SP-064-02, ACT-SP-147-03","AC-SP-073-01, AC-SP-073-02","Backlog","Founder with accountant/technical lead","Founder / specialist",""
"ACT-SP-074-01","SP-074","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: All applicable requirements linked to final designs/tasks/build/tests/reviewers; current market/vendor/SDK decisions; old-client/rollout limits; no missing gate or misleading completion; R15/R18/R20","Integration/evidence checklist and actual Release/delivery owner decision for SP-074","ACT-SP-031-02, ACT-SP-032-01, ACT-SP-033-01, ACT-SP-071-01, ACT-SP-072-01, ACT-SP-073-01, ACT-SP-149-03","AC-SP-074-01, AC-SP-074-02, AC-SP-074-03, AC-SP-074-04, AC-SP-074-05","Backlog","Release/delivery owner","Delivery owner",""
"ACT-SP-075-01","SP-075","P00","G0","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Identify accountable and backup people for product, technology, coaching, safeguarding, privacy, operations and release; obtain scoped discovery estimates","Review-ready SP-075 packet with source versions, open decisions and acceptance checklist","ACT-SP-001-02","AC-SP-075-01, AC-SP-075-02, AC-SP-075-03","Backlog","Delivery owner","Delivery owner",""
"ACT-SP-075-02","SP-075","P00","G0","Human action","Human","","Founder accepts commitments and fills vacancies before affected work starts Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-075 decision and any actual specialist/participant work required by its scope","ACT-SP-075-01","AC-SP-075-01, AC-SP-075-02, AC-SP-075-03","Backlog","Delivery owner","Delivery owner",""
"ACT-SP-076-01","SP-076","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Choose a working name, check brand rights through the appropriate process and commission original logo masters; supply light, dark and export variants","Review-ready SP-076 packet with source versions, open decisions and acceptance checklist","ACT-SP-001-02, ACT-SP-004-01","AC-SP-076-01, AC-SP-076-02, AC-SP-076-03","Backlog","Product designer","Product designer",""
"ACT-SP-076-02","SP-076","P01","G1","Human action","Human","","Founder selects the brand and authorizes any registration or commission Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-076 decision and any actual specialist/participant work required by its scope","ACT-SP-076-01","AC-SP-076-01, AC-SP-076-02, AC-SP-076-03","Backlog","Product designer","Product designer",""
"ACT-SP-077-01","SP-077","P01","G1","Specification","Agent","Design agent","Translate design section 9 into semantic Light/Dark tokens, native chrome and accessible shared components","Versioned token/component specification with rendered contrast measurements","ACT-SP-010-01, ACT-SP-011-03, ACT-SP-076-02","AC-SP-077-01, AC-SP-077-02, AC-SP-077-03, AC-SP-077-04","Backlog","Product designer","Product designer","IP-05"
"ACT-SP-077-02","SP-077","P01","G1","Specification","Agent","Design agent","Cover F01–F33, Follow device, recording, identity, errors, billing and optional goal/return states","Paired design-state inventory with explicit missing frames","ACT-SP-077-01","AC-SP-077-01, AC-SP-077-02, AC-SP-077-03, AC-SP-077-04","Backlog","Product designer","Product designer","IP-05"
"ACT-SP-077-03","SP-077","P01","G1","Verification and handoff","Agent","QA / Design agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Product designer.","SP-077 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-077-02","AC-SP-077-01, AC-SP-077-02, AC-SP-077-03, AC-SP-077-04","Backlog","Product designer","Product designer","IP-05"
"ACT-SP-078-01","SP-078","P05","G3","Delivery activity","Agent","Mobile agent","Implement Follow device default plus Light/Dark overrides with offline persistence","Mobile appearance resolver, semantic tokens and preference storage","ACT-SP-077-03, ACT-SP-090-03","AC-SP-078-01, AC-SP-078-02, AC-SP-078-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-078-02","SP-078","P05","G3","Delivery activity","Agent","Mobile agent","Apply scheduled/manual changes without recreating controllers or modifying source/export pixels","Live-switch integration and restart/capture continuity evidence","ACT-SP-078-01","AC-SP-078-01, AC-SP-078-02, AC-SP-078-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-078-03","SP-078","P05","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-078 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-078-02","AC-SP-078-01, AC-SP-078-02, AC-SP-078-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-079-01","SP-079","P06","G3","Delivery activity","Agent","Web agent","Bind shared tokens to responsive adult role shells with correct initial theme","Web appearance provider and themed role shells","ACT-SP-077-03, ACT-SP-111-03","AC-SP-079-01, AC-SP-079-02, AC-SP-079-03","Backlog","Web lead","Web lead / security reviewer",""
"ACT-SP-079-02","SP-079","P06","G3","Delivery activity","Agent","Web agent","Cover keyboard focus, errors, disabled/loading/empty states and persisted override behavior","Paired component gallery and relevant browser interaction evidence","ACT-SP-079-01","AC-SP-079-01, AC-SP-079-02, AC-SP-079-03","Backlog","Web lead","Web lead / security reviewer",""
"ACT-SP-079-03","SP-079","P06","G3","Verification and handoff","Agent","QA / Web agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Web lead / security reviewer.","SP-079 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-079-02","AC-SP-079-01, AC-SP-079-02, AC-SP-079-03","Backlog","Web lead","Web lead / security reviewer",""
"ACT-SP-080-01","SP-080","P01","G1","Specification","Agent","Media agent","Storyboard approved logo, duration/transition, orientation, audio choice and preserved source","Export storyboard and composition input/output contract","ACT-SP-001-02, ACT-SP-076-02","AC-SP-080-01, AC-SP-080-02, AC-SP-080-03, AC-SP-080-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-080-02","SP-080","P01","G1","Specification","Agent","Media agent","Define source/export offsets including overlap math, cancellation, low-space and deliberate sharing authority","Chapter-transform fixtures and export/copy-state table","ACT-SP-080-01","AC-SP-080-01, AC-SP-080-02, AC-SP-080-03, AC-SP-080-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-080-03","SP-080","P01","G1","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-080 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-080-02","AC-SP-080-01, AC-SP-080-02, AC-SP-080-03, AC-SP-080-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-081-01","SP-081","P03","G2","Delivery activity","Agent","Media agent","Compose licensed logo and consenting-adult footage in portrait/landscape using candidate adapters","Export feasibility prototype and documented library/license assumptions","ACT-SP-014-03, ACT-SP-015-03, ACT-SP-080-03, ACT-SP-126-02","AC-SP-081-01, AC-SP-081-02, AC-SP-081-03","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-081-02","SP-081","P03","G2","Delivery activity","Agent","Media agent","Inspect audio sync, duration, chapter transforms, cancellation and low-space on named devices","Device export measurements and source-preservation evidence","ACT-SP-081-01","AC-SP-081-01, AC-SP-081-02, AC-SP-081-03","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-081-03","SP-081","P03","G2","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-081 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-081-02","AC-SP-081-01, AC-SP-081-02, AC-SP-081-03","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-082-01","SP-082","P05","G3","Delivery activity","Agent","Media agent","Implement the proven adapter with one intro, correct chapter transforms and preserved source","Export service and versioned composition fixtures","ACT-SP-080-03, ACT-SP-081-03, ACT-SP-094-03","AC-SP-082-01, AC-SP-082-02, AC-SP-082-03, AC-SP-082-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-082-02","SP-082","P05","G3","Delivery activity","Agent","Media agent","Add cancel/retry/failure/finalized states and deliberate platform save/share only for valid output","Review/export UI and output-integrity handoff evidence","ACT-SP-082-01","AC-SP-082-01, AC-SP-082-02, AC-SP-082-03, AC-SP-082-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-082-03","SP-082","P05","G3","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-082 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-082-02","AC-SP-082-01, AC-SP-082-02, AC-SP-082-03, AC-SP-082-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-083-01","SP-083","P08","G3","Delivery activity","Agent","Security test agent","Attempt sibling/unrelated/coach exports and inspect temp cleanup, metadata and gallery intent","Export privacy case results and copy-boundary observations","ACT-SP-082-03, ACT-SP-104-03, ACT-SP-109-03","AC-SP-083-01, AC-SP-083-02, AC-SP-083-03, AC-SP-083-04","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-083-02","SP-083","P08","G3","Delivery activity","Agent","Security test agent","Validate chapters, orientation, audio and interruption/corruption handling before handoff","Named-device media inspection report and failed-output denial evidence","ACT-SP-083-01","AC-SP-083-01, AC-SP-083-02, AC-SP-083-03, AC-SP-083-04","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-083-03","SP-083","P08","G3","Verification and handoff","Agent","QA / Security test agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-083 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-083-02","AC-SP-083-01, AC-SP-083-02, AC-SP-083-03, AC-SP-083-04","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-084-01","SP-084","P01","G1","Specification","Agent","Backend agent","Specify identities, references, request/response shapes, scope and extension seams for priority features","Versioned schema/API catalog with one owner per domain","ACT-SP-001-02, ACT-SP-037-03","AC-SP-084-01, AC-SP-084-02, AC-SP-084-03, AC-SP-084-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03, IP-04, IP-05"
"ACT-SP-084-02","SP-084","P01","G1","Specification","Agent","Backend agent","Fix errors, pagination, timestamps, event identity, client versions and common fixtures","Contract fixtures and server/device authority compatibility policy","ACT-SP-084-01","AC-SP-084-01, AC-SP-084-02, AC-SP-084-03, AC-SP-084-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03, IP-04, IP-05"
"ACT-SP-084-03","SP-084","P01","G1","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-084 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-084-02","AC-SP-084-01, AC-SP-084-02, AC-SP-084-03, AC-SP-084-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03, IP-04, IP-05"
"ACT-SP-085-01","SP-085","P04","G3","Delivery activity","Agent","Backend agent","Add accounts, players, households, clubs, membership, guardian and enrollment records with constrained links","Rebuildable schema migrations and two-household/two-club seeds","ACT-SP-018-01, ACT-SP-039-03, ACT-SP-084-03","AC-SP-085-01, AC-SP-085-02, AC-SP-085-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-085-02","SP-085","P04","G3","Delivery activity","Agent","Backend agent","Implement capability-aware reads/writes and deny forged ownership links across roles","Constrained data access and positive/negative policy evidence","ACT-SP-085-01","AC-SP-085-01, AC-SP-085-02, AC-SP-085-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-085-03","SP-085","P04","G3","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-085 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-085-02","AC-SP-085-01, AC-SP-085-02, AC-SP-085-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-086-01","SP-086","P04","G3","Delivery activity","Agent","Backend agent","Add drill versions, suitability, rights, approvals and immutable published plans/items","Content/plan migrations with version fixtures","ACT-SP-084-03, ACT-SP-085-03","AC-SP-086-01, AC-SP-086-02, AC-SP-086-03, AC-SP-086-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03"
"ACT-SP-086-02","SP-086","P04","G3","Delivery activity","Agent","Backend agent","Add recipients, activities, attendance and attributed assessment interfaces for priority extensions","Assignment/assessment schema and ownership/history constraints","ACT-SP-086-01","AC-SP-086-01, AC-SP-086-02, AC-SP-086-03, AC-SP-086-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03"
"ACT-SP-086-03","SP-086","P04","G3","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-086 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-086-02","AC-SP-086-01, AC-SP-086-02, AC-SP-086-03, AC-SP-086-04","Backlog","Backend lead","Technical lead","IP-01, IP-02, IP-03"
"ACT-SP-087-01","SP-087","P04","G3","Delivery activity","Agent","Backend agent","Model source parts/chapters, consent versions, exact grants, quota reservation and suppression","Media/consent migrations and immutable ownership constraints","ACT-SP-085-03, ACT-SP-086-03","AC-SP-087-01, AC-SP-087-02, AC-SP-087-03, AC-SP-087-04","Backlog","Backend lead","Technical lead",""
"ACT-SP-087-02","SP-087","P04","G3","Delivery activity","Agent","Backend agent","Model entitlement/event uniqueness, outbox and bounded job metadata independently from viewing grants","Ledger/job migrations and retry/deletion constraint evidence","ACT-SP-087-01","AC-SP-087-01, AC-SP-087-02, AC-SP-087-03, AC-SP-087-04","Backlog","Backend lead","Technical lead",""
"ACT-SP-087-03","SP-087","P04","G3","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-087 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-087-02","AC-SP-087-01, AC-SP-087-02, AC-SP-087-03, AC-SP-087-04","Backlog","Backend lead","Technical lead",""
"ACT-SP-088-01","SP-088","P04","G3","Delivery activity","Agent","Security test agent","Seed authorized/unrelated households, clubs, children, revoked coaches and forged links","Independently rebuildable authorization fixture factory","ACT-SP-085-03, ACT-SP-086-03, ACT-SP-087-03, ACT-SP-101-03","AC-SP-088-01, AC-SP-088-02, AC-SP-088-03","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-088-02","SP-088","P04","G3","Delivery activity","Agent","Security test agent","Test scoped reads/writes across tables, views, RPCs, storage, jobs, billing and media","Allow/deny coverage report tied to current migrations","ACT-SP-088-01","AC-SP-088-01, AC-SP-088-02, AC-SP-088-03","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-088-03","SP-088","P04","G3","Verification and handoff","Agent","QA / Security test agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-088 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-088-02","AC-SP-088-01, AC-SP-088-02, AC-SP-088-03","Backlog","Security lead","Independent security reviewer",""
"ACT-SP-089-01","SP-089","P04","G3","Delivery activity","Agent","Backend agent","Version server/local/content/API changes and define additive rollout and backfills","Migration/version tooling and old/new client compatibility matrix","ACT-SP-085-03, ACT-SP-086-03, ACT-SP-087-03, ACT-SP-091-03","AC-SP-089-01, AC-SP-089-02, AC-SP-089-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-089-02","SP-089","P04","G3","Delivery activity","Agent","Backend agent","Inject migration failure and demonstrate history-preserving forward fix or restore","Upgrade failure evidence and recovery procedure","ACT-SP-089-01","AC-SP-089-01, AC-SP-089-02, AC-SP-089-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-089-03","SP-089","P04","G3","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-089 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-089-02","AC-SP-089-01, AC-SP-089-02, AC-SP-089-03","Backlog","Backend lead","Technical lead",""
"ACT-SP-090-01","SP-090","P04","G3","Delivery activity","Agent","Mobile agent","Create injectable player/adult routes, capabilities and accessibility foundations","Mobile shell with explicit restricted context boundaries","ACT-SP-018-01, ACT-SP-077-03","AC-SP-090-01, AC-SP-090-02, AC-SP-090-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-090-02","SP-090","P04","G3","Delivery activity","Agent","Mobile agent","Restore safe context on launch and reject privileged routes while keeping Stop/settings accessible","Navigation restart/deep-link denial evidence","ACT-SP-090-01","AC-SP-090-01, AC-SP-090-02, AC-SP-090-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-090-03","SP-090","P04","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-090 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-090-02","AC-SP-090-01, AC-SP-090-02, AC-SP-090-03","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-091-01","SP-091","P04","G3","Delivery activity","Agent","Mobile agent","Add per-context worker database, atomic session/outbox records and protected file catalog/key references","Drift repositories, file mapping and protection integration","ACT-SP-047-03, ACT-SP-090-03","AC-SP-091-01, AC-SP-091-02, AC-SP-091-03, AC-SP-091-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-091-02","SP-091","P04","G3","Delivery activity","Agent","Mobile agent","Handle WAL/temp/backups, asset integrity, context switches and interrupted migrations without wiping history","Recovery paths and responsive-UI/context-isolation measurements","ACT-SP-091-01","AC-SP-091-01, AC-SP-091-02, AC-SP-091-03, AC-SP-091-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-091-03","SP-091","P04","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-091 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-091-02","AC-SP-091-01, AC-SP-091-02, AC-SP-091-03, AC-SP-091-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-092-01","SP-092","P05","G3","Delivery activity","Agent","Mobile agent","Build Prepare/Countdown/CaptureStarting/Work/Rest with monotonic clock and capture confirmation before recorded work","Deterministic controller core and start/duplicate/frame-delay fixtures","ACT-SP-010-01, ACT-SP-090-03, ACT-SP-091-03","AC-SP-092-01, AC-SP-092-02, AC-SP-092-03, AC-SP-092-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-092-02","SP-092","P05","G3","Delivery activity","Agent","Mobile agent","Add Paused/Interrupted/Finalizing/Completed/Failed and explicit no-camera path with atomic transitions","Resumable controller transitions and timing/gap/idempotency fixtures","ACT-SP-092-01","AC-SP-092-01, AC-SP-092-02, AC-SP-092-03, AC-SP-092-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-092-03","SP-092","P05","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-092 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-092-02","AC-SP-092-01, AC-SP-092-02, AC-SP-092-03, AC-SP-092-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-093-01","SP-093","P05","G3","Delivery activity","Agent","Media agent","Bind front/rear preview, consent-driven microphone and capture-confirmed REC state","Camera lifecycle adapter with real-device start/Stop evidence","ACT-SP-014-03, ACT-SP-092-03","AC-SP-093-01, AC-SP-093-02, AC-SP-093-03, AC-SP-093-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-093-02","SP-093","P05","G3","Delivery activity","Agent","Media agent","Save grouped playable clips and preserve parts when finalization/storage fails","File finalization integration and honest Saved/failure state evidence","ACT-SP-093-01","AC-SP-093-01, AC-SP-093-02, AC-SP-093-03, AC-SP-093-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-093-03","SP-093","P05","G3","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-093 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-093-02","AC-SP-093-01, AC-SP-093-02, AC-SP-093-03, AC-SP-093-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-094-01","SP-094","P05","G3","Delivery activity","Agent","Media agent","Integrate continuous capture and source-offset chapter navigation without duplicate footage","Full-session adapter and chapter metadata","ACT-SP-015-03, ACT-SP-093-03","AC-SP-094-01, AC-SP-094-02, AC-SP-094-03, AC-SP-094-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-094-02","SP-094","P05","G3","Delivery activity","Agent","Media agent","Represent pause/resume, termination and recoverable parts accurately in history","Gap/part recovery behavior with actual device interruption evidence","ACT-SP-094-01","AC-SP-094-01, AC-SP-094-02, AC-SP-094-03, AC-SP-094-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-094-03","SP-094","P05","G3","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-094 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-094-02","AC-SP-094-01, AC-SP-094-02, AC-SP-094-03, AC-SP-094-04","Backlog","Mobile / media lead","Mobile lead / device QA",""
"ACT-SP-095-01","SP-095","P05","G3","Delivery activity","Agent","Mobile agent","Play looped demo, captions/narration and large timer independently of elapsed exercise time","Demonstration/cue adapter and accessible live-practice UI","ACT-SP-092-03, ACT-SP-097-03","AC-SP-095-01, AC-SP-095-02, AC-SP-095-03, AC-SP-095-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-095-02","SP-095","P05","G3","Delivery activity","Agent","Mobile agent","Persist legitimate participation without a video object and keep immediate Stop reachable","No-camera session/history flow and cue/settings cases","ACT-SP-095-01","AC-SP-095-01, AC-SP-095-02, AC-SP-095-03, AC-SP-095-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-095-03","SP-095","P05","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-095 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-095-02","AC-SP-095-01, AC-SP-095-02, AC-SP-095-03, AC-SP-095-04","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-096-01","SP-096","P05","G3","Delivery activity","Agent","Mobile agent","Implement Today/Explore filters with one catalog, independent age/ability and explicit offline/empty states","Discovery/detail UI and eligible/ineligible catalog fixtures","ACT-SP-086-03, ACT-SP-090-03, ACT-SP-156-03","AC-SP-096-01, AC-SP-096-02, AC-SP-096-03, AC-SP-096-04, AC-SP-096-05","Backlog","Mobile lead","Mobile lead / device QA","IP-01, IP-02, IP-05"
"ACT-SP-096-02","SP-096","P05","G3","Delivery activity","Agent","Mobile agent","Render SP-156 goals, entry requirements, sequence, easier alternative, next step and parent guidance with recommendation/goal integration seams","Program/pathway UI with withdrawn/missing-variant states","ACT-SP-096-01","AC-SP-096-01, AC-SP-096-02, AC-SP-096-03, AC-SP-096-04, AC-SP-096-05","Backlog","Mobile lead","Mobile lead / device QA","IP-01, IP-02, IP-05"
"ACT-SP-096-03","SP-096","P05","G3","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-096 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-096-02","AC-SP-096-01, AC-SP-096-02, AC-SP-096-03, AC-SP-096-04, AC-SP-096-05","Backlog","Mobile lead","Mobile lead / device QA","IP-01, IP-02, IP-05"
"ACT-SP-097-01","SP-097","P05","G3","Delivery activity","Agent","Mobile agent","Download versioned media/captions/manifests with resumable state, integrity and storage budget","Download manager and complete/incomplete asset state model","ACT-SP-091-03, ACT-SP-096-03","AC-SP-097-01, AC-SP-097-02, AC-SP-097-03, AC-SP-097-04","Backlog","Mobile lead","Mobile lead / device QA",""
